key,key:flightCrewMember,key:leg,crewRole,lastUpdated,assignmentStatus,comments,draftMode
#base entity -> unique restriction crewMember-leg,"","","","","","",""
flight-assignment-01,flight-crew-member-01,leg-03,CABIN_ATTENDANT,2011/04/16 0:00,CONFIRMED,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",FALSE
# comments - standart variations
flight-assignment-02,flight-crew-member-04,leg-03,CABIN_ATTENDANT,2011/04/16 0:00,CONFIRMED,,FALSE
flight-assignment-03,flight-crew-member-02,leg-03,CABIN_ATTENDANT,2011/04/16 0:00,CONFIRMED,null,FALSE
flight-assignment-04,flight-crew-member-01,leg-05,CABIN_ATTENDANT,2011/04/16 0:00,CONFIRMED,L,FALSE
flight-assignment-05,flight-crew-member-03,leg-05,CABIN_ATTENDANT,2011/04/16 0:00,CONFIRMED,Lo,FALSE
flight-assignment-06,flight-crew-member-01,leg-06,CABIN_ATTENDANT,2011/04/16 0:00,CONFIRMED,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor",FALSE
flight-assignment-07,flight-crew-member-01,leg-07,CABIN_ATTENDANT,2011/04/16 0:00,CONFIRMED,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor*",FALSE
flight-assignment-08,flight-crew-member-01,leg-08,CABIN_ATTENDANT,2011/04/16 0:00,CONFIRMED,โลเร็ม อิปซัม,FALSE
flight-assignment-09,flight-crew-member-04,leg-08,CABIN_ATTENDANT,2011/04/16 0:00,CONFIRMED,لوريم إيبسوم,FALSE
flight-assignment-10,flight-crew-member-05,leg-06,CABIN_ATTENDANT,2011/04/16 0:00,CONFIRMED,洛伦·伊普森,FALSE
flight-assignment-11,flight-crew-member-03,leg-07,CABIN_ATTENDANT,2011/04/16 0:00,CONFIRMED,<marquee>Hacked</marquee>,FALSE
flight-assignment-12,flight-crew-member-03,leg-08,CABIN_ATTENDANT,2011/04/16 0:00,CONFIRMED,<script>alert(�Hacked!�);</script>,FALSE
flight-assignment-13,flight-crew-member-04,leg-10,CABIN_ATTENDANT,2011/04/16 0:00,CONFIRMED,' or 'A' = 'A,FALSE
# lastUpdate - standart variations
